item,quantity,category,tags,current location,weight,owner,intended location,notes,location notes,potential sell / discard
asics FF 3 novak hardcourt shoes,1,shoes,,,,,,,,
asics resolution 9 hardcourts,,,,,,,,,,
wilson black rush claycourts,,,,,,,,,,
wilson red rush claycourts,1,,,,,,,,,
ankle brace,2,,,,,,,,,
green yonex string bag,1,,,,,,,,,
head TGT334 spare grommets,1,,,,,,,,,
factory wilson base grip,1,,,,,,,in tourna grip case,,
ab roller,1,,,,,,,,,
victor sports ice bag velcro strapping (mount),1,,,,,,,,,
victor sports ice bag velcro strapping,1,,,,,,,,,
spare lead tape,1,,,,,,,,,
power band purple (medium),1,,,,,,,,,
power band red (thin),1,,,,,,,,,
thera band (blue),1,,,,,,,,,
sheet-like thera band thing (blue),1,,,,,,,,,
large foldable nike duffel bag,1,,,,,,,,,
blu tack,1,,,,,,,,,
ESR running belt,1,,,"bedroom cupboard / cubby holes, packing cube medium",,,,,,
tourna rosin powder bag try dry hands,1,,,,,,,,,
adjustable monitor arm,1,,,kmart box 2,,,,,,
spare monitor arm / VESA mount screws x4,1,,,kmart box 2,,,,,,
bellemond paper screen protector for ipad (ipad mini),1,,,kmart box 2,,,,,,
bellemond paper screen protector for ipad (ipad pro 12.9),3,,,kmart box 2,,,,"one of these is chopped up for inkpalm pro use, still some left, 2 full spares remain",,
o2 headphone amp wall charger (US),1,,,kmart box 2,,,,,in amazonbasics slim packing cube 1,
12v 'k-tec' wall charger,1,,,kmart box 2,,,,,in amazonbasics slim packing cube 1,
wall socket expandor/duplicator (1 to 2),1,,,kmart box 2,,,,,in amazonbasics slim packing cube 1,
gopro hero10 black,1,,,kmart box 2,,,,broken screen,in amazonbasics slim packing cube 2,
ulanzi bendable camera/gopro tripod,1,,,kmart box 2,,,,,in amazonbasics slim packing cube 2,
gopro head strap / mount,1,,,kmart box 2,,,,,in amazonbasics slim packing cube 2,
gopro / phone chest strap / mount,1,,,kmart box 2,,,,,in amazonbasics slim packing cube 2,
gopro mini tripod,1,,,kmart box 2,,,,,in amazonbasics slim packing cube 2,
gopro spare battery,1,,,kmart box 2,,,,,in amazonbasics slim packing cube 2,
gopro spare camera mounts,2,,,kmart box 2,,,,,in amazonbasics slim packing cube 2,
spare ball mount with sticky surface underneath,1,,,kmart box 2,,,,think this might be for gopro as well but not sure,in amazonbasics slim packing cube 2,
Logitech C922 Pro webcam,1,,,,,,kmart box 2,,in amazonbasics slim packing cube 2,sell
misc norbauer items,1,keyboards,,kmart box 2,,,,,in amazonbasics medium packing cube,
black keycaps (taohao),1,keyboards,keycaps,kmart box 2,,,,,in amazonbasics medium packing cube,
green keycaps (taohao),1,keyboards,keycaps,kmart box 2,,,,,in amazonbasics medium packing cube,
red keycaps (taohao),1,keyboards,keycaps,kmart box 2,,,,,in amazonbasics medium packing cube,
yellow keycaps (taohao),1,keyboards,keycaps,kmart box 2,,,,,in amazonbasics medium packing cube,
blue keycaps (taohao),1,keyboards,keycaps,kmart box 2,,,,,in amazonbasics medium packing cube,
GMK black keycaps,1,keyboards,keycaps,kmart box 2,,,,,in amazonbasics medium packing cube,
GMK keycaps (white / bleached),1,keyboards,keycaps,kmart box 2,,,,,in amazonbasics medium packing cube,
PBT kbdfans blank white keycaps,1,keyboards,keycaps,kmart box 2,,,,,in amazonbasics medium packing cube,
