item,quantity,category,tags,current location,weight,owner,intended location,notes,location notes,potential sell / discard
spare amazonbasics packing cubes,many,bags,,bedroom cupboard / amazonbasics packing cube (medium),,,,,,
uniqlo airism undies,14,clothes,,bedroom cupboard,,,,,,
target black socks (pair),13.5,,,,,,,,,
target white socks (pair),6,,,,,,,,,
uniqlo orange socks (pair),1,,,,,,,,,
blue dress socks (pair),2,,,,,,,,,
paddidas' green socks (pair),1,,,,,,,,,
radiski' socks (pair),1,,,,,,,,,
edgar's mission green socks (pair),1,,,,,,,,,
orange explorer socks (pair),1,,,,,,,,,
black explorer socks (pair),1,,,,,,,,,
2xu compression shorts,2,,,,,,,,,
nike pro sorta-compression shorts,1,,,,,,,,,
misc sweatbands,,,,,,,,,,
wilson sweat headband,1,,,,,,,,,
snowgum long thermal underwear,1,,,,,,,,,
target tennis shorts (grey),5,,,,,,,,,
target tennis shorts (black),7,,,,,,,,,
uniqlo grey tennis shorts,2,,,,,,,,,
uniqlo orange cargo shorts,1,,,,,,,,,
target tennis shirts (black),12,,,,,,,,,
target tennis shirts (white),6,,,,,,,,,
CODL punchplate steel poker pen,1,,,,,,RCC Pouch,used to punch holes into the punchplate,,
CODL punchplate,,,,,,,Black Rock,,,
Bitbox accessories incl cable and Tamper proof bags,1,,,,,,TB A5 Ghost whale grey,,,
"Bitbox Tamper proof bag 01, contents receipt",1,,,,,,RCC Pouch,,,
bitbox02,1,,,,,,RCC Pouch,,,
tom bihn niks minimalist wallet,1,,,RCC Pouch,,,,,,
orthodontic bottom teeth mold,,,,RCC Pouch,,,,"used to create my most recent bottom retainer after my wire falling off, can be used for future retainers",,
cotton on sunglasses (in microfibre cases),2,,,,,,,,in an amazonbasics small packing cube,
stick on magsafe rings,3,,,small packing cube,,,,,,
epson FF680-W FastFoto Scanner,1,,,kmart box 4,,,,,,
epson es300w scanner,1,,,kmart box 4,,,,,,
deck box' container of yu-gi-oh and a few pokemon cards,1,,,kmart box 4,,,,,,
"3.5"" external hdd case",1,,,kmart box 4,,,,,,
Hakko FX888D Soldering Station + related tools,1,,,kmart box 5,,,,,,
thinkpad x230 misc parts ,,,,kmart box 4,,,,"screen bezels, screen, screws, wristrest/touchpad, keyboard",,
thinkpad x230 dock,1,,,kmart box 4,,,,,,
raspberry pi,1,,,kmart box 4,,,,,,
extra 'analog' todo list paper cards,2,,,tactix 9 slot organiser,,,,,,
Dual laptop stand,1,,,kmart box 4,,,,double laptop stand,,
extension power cable,1,,,kmart box 4,,,,,,
gopro pouch,1,,,kmart box 4,,,,,,
victorinox mini champ toothpick insert ,,,,orange CAP2,,,,"sak, swiss army knife",in the middle pocket in the middle section,
tom bihn spare zipper pulls,3,,,kmart box 6,,,,3 bags,,
bag of thing to change screen protector,,,,kmart box 6,,,,"dust removal stickers, alchol wipes for cleaning screen, card thing for removing bubbles",,
metal magnetic ring to stick to back of phone to make it magsafe compatible,1,,,kmart box 6,,,,,,
